population,food_production_index,undernourishment,fertilizer_consumption,year
15394648.0,24.93,,4.81481481481481,1990
15787496.0,35.83,,2.85714285714286,1991
16184855.0,35.34,,3.60714285714286,1992
16589519.0,38.08,,2.70285714285714,1993
16993190.0,37.07,,2.75,1994
17399017.0,42.36,,3.23333333333333,1995
17810181.0,46.17,,5.4375,1996
18238958.0,44.85,,5.92111111111111,1997
18688036.0,48.68,,4.16198806196878,1998
19149864.0,51.59,,4.16771157033669,1999
19637087.0,52.11,,3.17402704828623,2000
20167069.0,54.25,14.8,8.18001225986818,2001
20729388.0,60.07,13.4,4.07676331858531,2002
21296705.0,62.42,12.6,7.35845540156673,2003
21868298.0,64.59,12.0,13.4090247495572,2004
22449438.0,66.33,11.1,6.01974053425592,2005
23040702.0,68.26,10.4,20.8836274725333,2006
23642279.0,66.65,9.2,18.7058861913583,2007
24249946.0,74.63,8.1,15.8498731620394,2008
24862664.0,81.98,6.9,20.8912094324722,2009
25474995.0,83.94,6.9,20.4372267841194,2010
26095088.0,87.25,7.3,14.6056990994439,2011
26734268.0,92.17,7.7,37.7813946180067,2012
27386193.0,94.83,8.0,27.1535150705348,2013
28041592.0,99.06,8.7,16.6954693676709,2014
28696068.0,99.74,9.4,24.9741676250914,2015
29356742.0,101.19,9.5,22.2941800522702,2016
30008354.0,107.89,8.8,38.2464430807935,2017
30637585.0,113.03,7.5,27.5502575439693,2018
31258945.0,119.42,6.6,40.1360593104127,2019
31887809.0,122.4,5.7,50.1118919722287,2020
32518665.0,130.54,5.6,37.3638506125395,2021
33149152.0,135.5,5.9,37.0496188878745,2022
33787914.0,135.5,6.3,28.8902099832268,2023
